Group Signal ,Xx,Frame 61983,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     0.05057048,       12.67062
    0.004882813,     0.05378642,       5.841901
    0.009765625,       0.050214,     -0.8983639
     0.01464844,      0.0445995,      -7.382269
     0.01953125,     0.04067409,      -14.04529
     0.02441406,     0.03858075,      -19.75631
     0.02929688,     0.03302822,      -25.16022
     0.03417969,     0.02372544,      -30.29426
      0.0390625,     0.01878732,      -33.81978
     0.04394531,      0.0132906,      -36.69064
     0.04882813,    0.004723194,      -39.43249
     0.05371094,   -0.004890832,       -40.0541
     0.05859375,    -0.01230835,       -40.1634
     0.06347656,    -0.02245779,      -38.53838
     0.06835938,     -0.0251324,      -35.47038
     0.07324219,    -0.03169056,      -32.19447
       0.078125,    -0.03884312,      -27.73145
     0.08300781,    -0.04398922,       -22.9325
     0.08789063,    -0.04588502,      -17.35775
     0.09277344,    -0.04687411,      -11.37972
     0.09765625,    -0.04873217,      -4.563369
      0.1025391,    -0.05149283,       2.303943
      0.1074219,    -0.04900727,       8.915305
      0.1123047,    -0.04288518,       15.78242
      0.1171875,    -0.03917331,       21.96773
      0.1220703,    -0.03622657,       27.94362
      0.1269531,    -0.02858582,       33.17643
      0.1318359,    -0.02239515,       37.38327
      0.1367188,    -0.01652189,       40.48077
      0.1416016,   -0.007949348,       42.98179
      0.1464844,    0.001502106,       44.35148
      0.1513672,    0.008154541,       44.73159
        0.15625,     0.01493043,       44.03309
      0.1611328,      0.0252717,       42.15042
      0.1660156,     0.03196267,       38.98389
      0.1708984,     0.03482451,       35.47117
      0.1757813,     0.04160992,       30.60196
      0.1806641,      0.0483048,       25.11923
      0.1855469,     0.04889956,       19.18681
      0.1904297,     0.04763147,       12.61844
      0.1953125,     0.05143616,       6.069518
      0.2001953,     0.05150671,     -0.7399685
      0.2050781,     0.04691819,      -7.531663
      0.2099609,     0.04334621,      -14.10033
      0.2148438,     0.04111818,      -20.29852
      0.2197266,     0.03287689,      -25.86906
      0.2246094,     0.02675252,       -30.5553
      0.2294922,     0.02401195,      -34.81907
       0.234375,      0.0159655,      -37.85223
      0.2392578,    0.004444958,      -40.29865
      0.2441406,  -0.0003300085,       -41.7785
      0.2490234,   -0.006555757,      -41.08024
      0.2539063,    -0.01745917,      -40.04072
      0.2587891,    -0.02649563,      -37.01936
      0.2636719,    -0.02891594,      -33.64479
      0.2685547,    -0.03586887,      -29.34351
      0.2734375,     -0.0433387,      -24.18195
      0.2783203,    -0.04280505,      -18.61225
      0.2832031,     -0.0466398,      -12.46422
      0.2880859,    -0.05314825,      -5.481641
      0.2929688,    -0.04988017,       1.255631
      0.2978516,    -0.04510152,        8.29819
      0.3027344,    -0.04678078,       15.31685
      0.3076172,    -0.04357178,       21.78449
         0.3125,    -0.03663961,       28.23363
      0.3173828,     -0.0302202,       33.90549
      0.3222656,    -0.02615911,       38.38646
      0.3271484,    -0.01878458,       42.46756
      0.3320313,   -0.009892217,       44.95102
      0.3369141,   -0.002986399,       46.46413
      0.3417969,    0.006665507,       47.21446
      0.3466797,     0.01437985,       46.85588
      0.3515625,     0.01833163,       45.27782
      0.3564453,     0.02574088,       42.51115
      0.3613281,     0.03611688,       38.87255
      0.3662109,      0.0418454,       33.98064
      0.3710938,     0.04195884,       28.49669
      0.3759766,     0.04726363,       22.27668
