Group Signal ,Xx,Frame 64553,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     -0.1575351,      -38.31782
    0.004882813,     -0.1867452,      -24.91209
    0.009765625,     -0.2007544,      -9.981591
     0.01464844,     -0.1987404,       5.405263
     0.01953125,     -0.1826477,       20.58476
     0.02441406,     -0.1569397,       35.16378
     0.02929688,     -0.1196241,       47.91744
     0.03417969,    -0.07662972,       57.43237
      0.0390625,    -0.02688985,       62.88494
     0.04394531,     0.02746014,       63.78792
     0.04882813,     0.07545949,       61.32095
     0.05371094,      0.1216098,        55.0884
     0.05859375,      0.1596024,       45.28785
     0.06347656,      0.1897941,       32.77048
     0.06835938,      0.1996367,       18.25891
     0.07324219,      0.1987856,       2.346078
       0.078125,      0.1839054,      -14.09153
     0.08300781,      0.1570421,      -29.03912
     0.08789063,      0.1220629,      -41.76513
     0.09277344,     0.08164832,      -51.20457
     0.09765625,     0.03091406,        -56.702
      0.1025391,    -0.01971771,      -59.02258
      0.1074219,    -0.07021069,      -58.19086
      0.1123047,     -0.1154138,       -52.8833
      0.1171875,      -0.155037,      -43.38958
      0.1220703,     -0.1843666,      -30.25947
      0.1269531,     -0.1995598,      -15.36611
      0.1318359,     -0.1999621,     0.09531233
      0.1367188,      -0.188171,       15.42746
      0.1416016,     -0.1573364,       29.95324
      0.1464844,     -0.1225487,       43.39786
      0.1513672,    -0.08245673,       53.93538
        0.15625,    -0.03189855,       60.83639
      0.1611328,     0.02172612,       63.09922
      0.1660156,     0.07306284,       61.49008
      0.1708984,      0.1167207,       56.40041
      0.1757813,      0.1592319,       47.53964
      0.1806641,      0.1846271,       35.81386
      0.1855469,      0.1987587,        22.1583
      0.1904297,      0.2018208,        7.22094
      0.1953125,      0.1879088,      -8.529555
      0.2001953,      0.1567512,      -23.71744
      0.2050781,      0.1245691,      -36.94437
      0.2099609,     0.08815762,      -46.85409
      0.2148438,     0.03657619,      -52.79823
      0.2197266,    -0.01866074,      -55.53797
      0.2246094,    -0.06407455,       -55.6944
      0.2294922,      -0.111249,      -51.40284
       0.234375,     -0.1528852,      -43.21402
      0.2392578,     -0.1794785,      -31.32639
      0.2441406,     -0.1990354,      -17.00179
      0.2490234,     -0.2049371,      -2.045758
      0.2539063,     -0.1857195,       12.70273
      0.2587891,     -0.1595734,       26.80673
      0.2636719,     -0.1308035,       39.53194
      0.2685547,    -0.08426861,       49.86367
      0.2734375,     -0.0333374,       56.91195
      0.2783203,     0.01161752,       59.79321
      0.2832031,     0.06369895,       58.44604
      0.2880859,      0.1181987,        53.7569
      0.2929688,      0.1549634,       45.37725
      0.2978516,      0.1804887,       34.16319
      0.3027344,      0.1996827,       20.95179
